06/02/20 09:03:34:328 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 21528 | Sandbox for SLCachePath
06/02/20 09:03:35:406 | [INFO] |  |  |  | AGSHelper |  |  | 7580 | AGSHelper Started 7.0.0.37
06/02/20 09:03:35:406 | [INFO] |  |  |  | AGSHelper |  |  | 7580 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_izfwir
06/02/20 09:03:35:406 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 7580 | Sandbox for SLCachePath
06/02/20 09:03:36:459 | [INFO] |  |  |  | AGSHelper |  |  | 32256 | AGSHelper Started 7.0.0.37
06/02/20 09:03:36:459 | [INFO] |  |  |  | AGSHelper |  |  | 32256 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ljicar
06/02/20 09:03:36:459 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 32256 | Sandbox for SLCachePath
06/02/20 09:03:37:521 | [INFO] |  |  |  | AGSHelper |  |  | 17712 | AGSHelper Started 7.0.0.37
06/02/20 09:03:37:521 | [INFO] |  |  |  | AGSHelper |  |  | 17712 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_olcptk
06/02/20 09:03:37:521 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 17712 | Sandbox for SLCachePath
06/02/20 09:03:38:561 | [INFO] |  |  |  | AGSHelper |  |  | 33172 | AGSHelper Started 7.0.0.37
06/02/20 09:03:38:561 | [INFO] |  |  |  | AGSHelper |  |  | 33172 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_sweuml
06/02/20 09:03:38:561 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 33172 | Sandbox for SLCachePath
06/02/20 09:03:39:595 | [INFO] |  |  |  | AGSHelper |  |  | 15600 | AGSHelper Started 7.0.0.37
06/02/20 09:03:39:595 | [INFO] |  |  |  | AGSHelper |  |  | 15600 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_vgyawm
06/02/20 09:03:39:596 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 15600 | Sandbox for SLCachePath
06/02/20 09:03:40:628 | [INFO] |  |  |  | AGSHelper |  |  | 32620 | AGSHelper Started 7.0.0.37
06/02/20 09:03:40:628 | [INFO] |  |  |  | AGSHelper |  |  | 32620 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_yjafpm
06/02/20 09:03:40:629 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 32620 | Sandbox for SLCachePath
06/02/20 09:03:41:660 | [INFO] |  |  |  | AGSHelper |  |  | 29420 | AGSHelper Started 7.0.0.37
06/02/20 09:03:41:660 | [INFO] |  |  |  | AGSHelper |  |  | 29420 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ctushn
06/02/20 09:03:41:660 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 29420 | Sandbox for SLCachePath
06/02/20 09:03:42:750 | [INFO] |  |  |  | AGSHelper |  |  | 30336 | AGSHelper Started 7.0.0.37
06/02/20 09:03:42:750 | [INFO] |  |  |  | AGSHelper |  |  | 30336 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_fexyso
06/02/20 09:03:42:750 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 30336 | Sandbox for SLCachePath
06/02/20 09:03:43:804 | [INFO] |  |  |  | AGSHelper |  |  | 15332 | AGSHelper Started 7.0.0.37
06/02/20 09:03:43:804 | [INFO] |  |  |  | AGSHelper |  |  | 15332 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_igrdko
06/02/20 09:03:43:805 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 15332 | Sandbox for SLCachePath
06/02/20 09:03:44:847 | [INFO] |  |  |  | AGSHelper |  |  | 15216 | AGSHelper Started 7.0.0.37
06/02/20 09:03:44:847 | [INFO] |  |  |  | AGSHelper |  |  | 15216 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_lqlqdp
06/02/20 09:03:44:847 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 15216 | Sandbox for SLCachePath
06/02/20 09:03:45:883 | [INFO] |  |  |  | AGSHelper |  |  | 14112 | AGSHelper Started 7.0.0.37
06/02/20 09:03:45:884 | [INFO] |  |  |  | AGSHelper |  |  | 14112 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_pbnwoi
06/02/20 09:03:45:884 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 14112 | Sandbox for SLCachePath
06/02/20 09:03:46:935 | [INFO] |  |  |  | AGSHelper |  |  | 16928 | AGSHelper Started 7.0.0.37
06/02/20 09:03:46:935 | [INFO] |  |  |  | AGSHelper |  |  | 16928 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_sdhbgj
06/02/20 09:03:46:935 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 16928 | Sandbox for SLCachePath
06/02/20 09:03:47:990 | [INFO] |  |  |  | AGSHelper |  |  | 14732 | AGSHelper Started 7.0.0.37
06/02/20 09:03:47:990 | [INFO] |  |  |  | AGSHelper |  |  | 14732 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_vokgzj
06/02/20 09:03:47:991 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 14732 | Sandbox for SLCachePath
06/02/20 09:03:49:038 | [INFO] |  |  |  | AGSHelper |  |  | 26652 | AGSHelper Started 7.0.0.37
06/02/20 09:03:49:039 | [INFO] |  |  |  | AGSHelper |  |  | 26652 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_yyetjk
06/02/20 09:03:49:039 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 26652 | Sandbox for SLCachePath
06/02/20 09:03:50:108 | [INFO] |  |  |  | AGSHelper |  |  | 27728 | AGSHelper Started 7.0.0.37
06/02/20 09:03:50:108 | [INFO] |  |  |  | AGSHelper |  |  | 27728 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_flaeum
06/02/20 09:03:50:109 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 27728 | Sandbox for SLCachePath
06/02/20 09:03:51:162 | [INFO] |  |  |  | AGSHelper |  |  | 24376 | AGSHelper Started 7.0.0.37
06/02/20 09:03:51:162 | [INFO] |  |  |  | AGSHelper |  |  | 24376 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ivcjfm
06/02/20 09:03:51:163 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 24376 | Sandbox for SLCachePath
06/03/20 08:26:02:308 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 22100 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 08:26:02:309 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 22100 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_jvyfdb
06/03/20 08:26:02:309 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 22100 | Sandbox for SLCachePath
06/03/20 08:26:04:434 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 31232 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 08:26:04:434 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 31232 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_piuygd
06/03/20 08:26:04:434 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 31232 | Sandbox for SLCachePath
06/03/20 08:39:16:644 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 33688 | ***********AdobeGC Updater library invoked = 7.0.0.37 ************
06/03/20 08:39:16:645 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 33688 | Perform WF started
06/03/20 08:39:16:645 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 4252 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 08:39:16:646 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 33688 | Perform WF completed
06/03/20 08:39:16:646 | [DEBUG] |  |  |  | AdobeGCClientMain |  |  | 22208 | Trying to acquire the semaphore
06/03/20 08:39:16:646 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 4252 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ciakld
06/03/20 08:39:16:646 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 33688 | Directory Watcher CFU call ended... status = 258
06/03/20 08:39:16:646 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 22208 | Semaphore acquired
06/03/20 08:39:16:646 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 22208 | Threaded CFU Started
06/03/20 08:39:16:646 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 22208 | Get client install path Started
06/03/20 08:39:16:646 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 4252 | Sandbox for SLCachePath
06/03/20 08:39:16:647 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 22208 | Get client install path Ended
06/03/20 08:39:16:647 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 22208 | Client sanitization started
06/03/20 08:39:16:647 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Signature Self Signing Check
06/03/20 08:39:16:820 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Signature found
06/03/20 08:39:16:820 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Found valid signature, checking if signed by Adobe or not
06/03/20 08:39:16:905 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Signature found
06/03/20 08:39:16:925 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Client app successfully signed
06/03/20 08:39:16:931 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 22208 | Client sanitization ended
06/03/20 08:39:16:969 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Signature found
06/03/20 08:39:16:969 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Found valid signature, checking if signed by Adobe or not
06/03/20 08:39:16:990 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Signature found
06/03/20 08:39:17:001 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 22208 | Client app successfully signed
06/03/20 08:39:17:002 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 22208 | Thread CFU CheckCFU ...
06/03/20 08:39:17:002 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 22208 | Threaded CFU Ended
06/03/20 08:39:17:002 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 22208 | Semaphore signalled
06/03/20 08:39:17:647 | [INFO] |  |  |  | AdobeGCServiceUtilityLog |  |  | 27560 | Sandbox process completes, back to Parent process
06/03/20 08:39:17:647 | [INFO] |  |  |  | PCDService |  |  | 27560 | PCD Status received from Sandboxed process: 0
06/03/20 08:39:17:647 | [DEBUG] |  |  |  | AGCDirectoryWatcher |  |  | 27560 | Waiting for WRITE operation Callback...
06/03/20 08:39:17:683 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 20320 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 08:39:17:683 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 20320 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_fsuyee
06/03/20 08:39:17:683 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 20320 | Sandbox for SLCachePath
06/03/20 08:39:27:693 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 30332 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 08:39:27:693 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 30332 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_lucpkd
06/03/20 08:39:27:693 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 30332 | Sandbox for SLCachePath
06/03/20 09:26:36:619 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 25776 | *********** AGM Service Launched = 7.0.0.37 ************
06/03/20 09:26:36:620 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 25776 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_uoxdhg
06/03/20 09:26:36:620 | [INFO] |  |  |  | AdobeGCClientMain |  |  | 25776 | Sandbox for SLCachePath
